customerid,date,Days_Since_Last_Purchase,total_spend,Average_Transaction_Value,Total_Transactions,Total_Products_Purchased,Unique_Products_Purchased,Average_Days_Between_Purchases,Favorite_Shopping_Day,Favorite_Shopping_Hour,is_uk,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend
12346.0,2011-01-18,325,0.0,0.0,2,0,1,0.0,1,10,1,0.0,0.0,0.0
12347.0,2011-12-07,2,4310.0,23.68131868131868,7,2458,103,2.0,1,14,0,615.7142857142857,341.07078946836157,4.486071428571423
12348.0,2011-09-25,75,1437.24,53.23111111111111,4,2332,21,10.846153846153847,3,19,0,359.31,203.87568859479052,-100.88399999999999
12349.0,2011-11-21,18,1457.55,20.24375,1,630,72,0.0,0,9,0,1457.55,0.0,0.0
12350.0,2011-02-02,310,294.4,18.4,1,196,16,0.0,2,16,0,294.40000000000003,0.0,0.0
12352.0,2011-11-03,36,1265.41,15.064404761904765,8,463,57,3.108433734939759,1,14,0,316.3525,134.700628896082,9.350999999999996
12353.0,2011-05-19,204,89.0,22.25,1,20,4,0.0,3,17,0,89.0,0.0,0.0
12354.0,2011-04-21,232,1079.4,18.610344827586207,1,530,58,0.0,3,13,0,1079.4,0.0,0.0
12355.0,2011-05-09,214,459.4,35.33846153846154,1,240,13,0.0,0,13,0,459.40000000000003,0.0,0.0
12358.0,2011-12-08,1,928.06,54.59176470588236,2,242,12,9.3125,1,10,0,464.03000000000003,83.67901648561606,118.34000000000003
12360.0,2011-10-18,52,2302.06,18.27031746031746,3,1156,104,1.184,1,15,0,767.3533333333334,270.76574771069795,0.09999999999996588
12361.0,2011-02-25,287,174.9,19.433333333333334,1,90,9,0.0,4,13,0,174.9,0.0,0.0
12362.0,2011-12-06,3,4665.58,17.672651515151514,13,2180,200,1.091254752851711,3,15,0,583.1975,393.99228483200386,46.82404761904763
12363.0,2011-08-22,109,552.0,24.0,2,408,23,6.0,0,13,0,276.0,32.668333290818495,-46.20000000000002
12364.0,2011-12-02,7,1208.1,14.914814814814816,4,1499,69,1.2875,4,15,0,302.025,211.40655138066717,-64.654
12365.0,2011-02-21,291,320.69,15.27095238095238,1,173,21,0.0,0,13,0,320.69,0.0,0.0
12367.0,2011-12-05,4,150.9,15.09,1,172,10,0.0,0,16,0,150.9,0.0,0.0
12371.0,2011-10-11,59,1527.96,24.644516129032255,1,582,62,0.0,1,10,0,1527.96,0.0,0.0
12372.0,2011-09-29,71,1196.04,24.408979591836733,3,788,33,4.666666666666667,2,12,0,398.68,70.34687484174405,-5.050000000000011
12373.0,2011-02-01,311,324.6,24.96923076923077,1,196,13,0.0,1,13,0,324.6,0.0,0.0
12374.0,2011-11-14,25,622.93,19.4665625,1,339,32,0.0,0,15,0,622.9300000000001,0.0,0.0
12375.0,2011-12-07,2,375.42,23.46375,3,175,13,6.333333333333333,4,14,0,125.14,110.18665436431039,-96.19
12377.0,2011-01-28,315,1548.12,20.37,2,942,71,0.52,0,9,0,774.06,321.67701689738414,-454.91999999999996
12379.0,2011-09-19,81,775.29,19.87923076923077,3,401,38,2.289473684210526,0,10,0,258.43,227.01497021121756,-26.21999999999997
12380.0,2011-11-18,21,2423.56,23.995643564356435,5,1109,76,1.62,4,11,0,605.89,210.4794672487873,82.21199999999997
12381.0,2011-12-05,4,1433.46,16.66813953488372,4,772,69,1.3294117647058823,4,9,0,477.82,456.29813641960016,-440.19
12383.0,2011-06-08,184,1617.31,17.024315789473683,6,1515,83,1.7553191489361701,2,14,0,323.462,236.76986309494717,-142.529
12384.0,2011-11-11,28,406.16,14.505714285714287,3,117,25,3.3703703703703702,2,11,0,135.38666666666668,133.79804943770046,-0.05499999999999261
12386.0,2011-01-06,337,401.9,40.19,2,354,10,3.2222222222222223,2,9,0,200.95000000000002,81.95367593952088,-115.90000000000003
