,customerid,date,Days_Since_Last_Purchase,total_spend,Average_Transaction_Value,Total_Transactions,Total_Products_Purchased,Unique_Products_Purchased,Average_Days_Between_Purchases,Favorite_Shopping_Day,Favorite_Shopping_Hour,is_uk,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,cluster
0,12346.0,2011-01-18,325,0.0,0.0,2,0,1,0.0,1,10,1,0.0,0.0,0.0,1
1,12347.0,2011-12-07,2,4310.0,23.68131868131868,7,2458,103,2.0,1,14,0,615.7142857142857,341.0707894683616,4.486071428571423,1
2,12348.0,2011-09-25,75,1437.24,53.23111111111111,4,2332,21,10.846153846153848,3,19,0,359.31,203.8756885947905,-100.884,1
3,12349.0,2011-11-21,18,1457.55,20.24375,1,630,72,0.0,0,9,0,1457.55,0.0,0.0,1
4,12350.0,2011-02-02,310,294.4,18.4,1,196,16,0.0,2,16,0,294.40000000000003,0.0,0.0,1
5,12352.0,2011-11-03,36,1265.41,15.064404761904765,8,463,57,3.108433734939759,1,14,0,316.3525,134.700628896082,9.350999999999996,1
6,12353.0,2011-05-19,204,89.0,22.25,1,20,4,0.0,3,17,0,89.0,0.0,0.0,1
7,12354.0,2011-04-21,232,1079.4,18.610344827586207,1,530,58,0.0,3,13,0,1079.4,0.0,0.0,1
8,12355.0,2011-05-09,214,459.4,35.33846153846154,1,240,13,0.0,0,13,0,459.4,0.0,0.0,1
9,12358.0,2011-12-08,1,928.06,54.59176470588236,2,242,12,9.3125,1,10,0,464.03,83.67901648561606,118.34000000000005,1
10,12360.0,2011-10-18,52,2302.06,18.27031746031746,3,1156,104,1.184,1,15,0,767.3533333333334,270.76574771069795,0.0999999999999658,1
11,12361.0,2011-02-25,287,174.9,19.433333333333334,1,90,9,0.0,4,13,0,174.9,0.0,0.0,1
12,12362.0,2011-12-06,3,4665.58,17.672651515151514,13,2180,200,1.091254752851711,3,15,0,583.1975,393.9922848320039,46.82404761904763,1
13,12363.0,2011-08-22,109,552.0,24.0,2,408,23,6.0,0,13,0,276.0,32.668333290818495,-46.20000000000002,1
14,12364.0,2011-12-02,7,1208.1,14.914814814814816,4,1499,69,1.2875,4,15,0,302.025,211.4065513806672,-64.654,1
