customerid,date,Days_Since_Last_Purchase,total_spend,Average_Transaction_Value,Total_Transactions,Total_Products_Purchased,Unique_Products_Purchased,Average_Days_Between_Purchases,Favorite_Shopping_Day,Favorite_Shopping_Hour,is_uk,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,Outlier_Scores,Is_Outlier
12356.0,2011-11-17,22,2487.43,42.88672413793103,3,1573,52,5.298245614035087,1,9,0,829.1433333333333,991.4625854934382,-944.6349999999999,-1,1
12357.0,2011-11-06,33,6207.67,47.38679389312977,1,2708,131,0.0,6,16,0,6207.67,0.0,0.0,-1,1
12359.0,2011-12-02,7,6182.9800000000005,24.63338645418327,6,1599,214,1.284,3,12,0,1030.4966666666667,1137.5666585245308,25.072571428571457,-1,1
12370.0,2011-10-19,51,3421.94,20.739030303030304,4,2349,142,1.8780487804878048,1,12,0,1140.6466666666668,532.1485172706331,-502.495,-1,1
12378.0,2011-08-02,129,4008.62,18.30420091324201,1,2529,219,0.0,1,10,0,4008.62,0.0,0.0,-1,1
12406.0,2011-11-17,22,3280.75,30.377314814814813,3,1809,92,1.4953271028037383,3,19,0,1093.5833333333333,1067.0982022913042,86.39999999999998,-1,1
12409.0,2011-09-22,78,11056.93,96.99061403508772,7,5543,91,0.9026548672566371,4,12,0,3685.6433333333334,3266.8830195820196,-676.1399999999999,-1,1
12415.0,2011-11-15,24,123638.18,159.73925064599482,24,76946,443,0.3906856403622251,1,10,0,11239.834545454547,8039.048718572818,-8.166181818181865,-1,1
12428.0,2011-11-14,25,6366.0,21.801369863013697,11,3477,256,0.872852233676976,1,9,0,1273.2,2004.1037169892181,-880.158,-1,1
12432.0,2011-10-28,42,4359.32,40.74130841121495,4,1800,106,1.2169811320754718,0,13,0,2179.66,1607.9608204182089,-2274.0,-1,1
12433.0,2011-12-09,0,13375.87,31.847309523809525,7,11071,219,0.883054892601432,2,13,0,2675.174,814.6626220282847,-206.168,-1,1
12435.0,2011-09-21,79,7829.89,217.49694444444447,2,2055,31,5.371428571428571,3,7,0,3914.9450000000006,90.57330760218481,-128.0899999999997,-1,1
12438.0,2011-11-25,14,2466.85,25.696354166666666,2,1169,83,1.3157894736842106,4,13,0,1233.425,655.2829251933855,926.71,-1,1
12451.0,2011-11-29,10,8893.52,25.122937853107345,6,6454,264,0.8781869688385269,2,9,0,1778.7040000000002,1243.6456640980982,-339.14899999999994,-1,1
12471.0,2011-12-07,2,16323.52,32.132913385826775,45,7846,150,0.6962524654832347,3,9,0,1360.2933333333333,895.2855688989898,67.60237762237762,-1,1
12472.0,2011-11-09,30,5725.48,14.910104166666663,13,3992,225,0.8746736292428199,2,14,0,715.6850000000001,528.5156949419762,-39.997142857142855,-1,1
12473.0,2011-10-17,53,2545.27,15.241137724550898,4,2323,138,0.8192771084337349,0,11,0,848.4233333333333,629.7361111079254,511.37499999999994,-1,1
12474.0,2011-11-22,17,6434.77,14.65779043280182,30,4715,252,0.773972602739726,1,10,0,584.9790909090909,483.9929989256982,88.47863636363635,-1,1
