cluster,stockcode,description,quantity
0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,7502
0,84879,ASSORTED COLOUR BIRD ORNAMENT,6944
0,17003,BROCADE RING PURSE ,5631
0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5537
0,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,4992
0,22178,VICTORIAN GLASS HANGING T-LIGHT,4728
0,22197,POPCORN HOLDER,4369
0,22151,PLACE SETTING WHITE HEART,4288
0,85099B,JUMBO BAG RED RETROSPOT,4205
0,84946,ANTIQUE SILVER T-LIGHT GLASS,4201
1,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,7830
1,85099B,JUMBO BAG RED RETROSPOT,6638
1,21212,PACK OF 72 RETROSPOT CAKE CASES,6473
1,84879,ASSORTED COLOUR BIRD ORNAMENT,6238
1,84568,GIRLS ALPHABET IRON ON PATCHES ,6048
1,15036,ASSORTED COLOURS SILK FAN,5556
1,22178,VICTORIAN GLASS HANGING T-LIGHT,5512
1,23084,RABBIT NIGHT LIGHT,5369
1,22492,MINI PAINT SET VINTAGE ,5168
1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4587
2,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,9939
2,84879,ASSORTED COLOUR BIRD ORNAMENT,7847
2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6271
2,85099B,JUMBO BAG RED RETROSPOT,5628
2,22178,VICTORIAN GLASS HANGING T-LIGHT,4973
2,21212,PACK OF 72 RETROSPOT CAKE CASES,4583
2,22197,POPCORN HOLDER,3963
2,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,3680
2,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,3674
2,23084,RABBIT NIGHT LIGHT,3569
